window_id,entity_id,entity_label,hour,hour_of_day,login_success_count,login_failure_count,unique_source_ips,failure_ratio,success_rate,time_since_last_login_min,is_business_hours,dns_query_entropy,domain_length,bytes_transferred,unique_dest_ports,peer_deviation,privacy_risk,login_failure_count_rolling_4h,login_success_count_rolling_4h,bytes_transferred_rolling_4h
2026-07-20_13_ps_cd7c1c4b4a051b97,ps_cd7c1c4b4a051b97,erin,2026-07-20_13,13,4,2,1,0.3333333333333333,0.6666666666666666,9.786111111111111,True,0.0,0.0,0.0,0,2.0,HIGH,3.0,15.0,0.0
2026-07-20_14_ps_cd7c1c4b4a051b97,ps_cd7c1c4b4a051b97,erin,2026-07-20_14,14,3,2,1,0.4,0.6,11.923333333333332,True,0.0,0.0,0.0,0,1.118033988749895,HIGH,5.0,14.0,0.0
2026-07-20_09_ps_d1ddcc76d428753d,ps_d1ddcc76d428753d,carol,2026-07-20_09,9,1,1,1,0.5,0.5,32.86666666666667,True,0.0,0.0,0.0,0,0.816496580927726,HIGH,1.0,1.0,0.0
2026-07-20_10_ps_d1ddcc76d428753d,ps_d1ddcc76d428753d,carol,2026-07-20_10,10,5,1,1,0.16666666666666666,0.8333333333333334,11.902777777777779,True,0.0,0.0,0.0,0,0.4999999999999999,HIGH,2.0,6.0,0.0
2026-07-20_11_ps_d1ddcc76d428753d,ps_d1ddcc76d428753d,carol,2026-07-20_11,11,3,12,2,0.8,0.2,3.6,True,0.0,0.0,0.0,0,1.9796535909297293,HIGH,14.0,9.0,0.0
2026-07-20_12_ps_d1ddcc76d428753d,ps_d1ddcc76d428753d,carol,2026-07-20_12,12,4,0,1,0.0,1.0,13.525000000000002,True,0.0,0.0,0.0,0,-0.49999999999999994,HIGH,14.0,13.0,0.0
2026-07-20_13_ps_d1ddcc76d428753d,ps_d1ddcc76d428753d,carol,2026-07-20_13,13,6,0,1,0.0,1.0,9.122222222222222,True,0.0,0.0,0.0,0,-0.5,HIGH,13.0,18.0,0.0
2026-07-20_14_ps_d1ddcc76d428753d,ps_d1ddcc76d428753d,carol,2026-07-20_14,14,3,1,1,0.25,0.75,12.541666666666668,True,0.0,0.0,0.0,0,0.0,MEDIUM,13.0,16.0,0.0
2026-07-20_09_ps_d3a36e0ee74e65f4,ps_d3a36e0ee74e65f4,alice,2026-07-20_09,9,1,1,1,0.5,0.5,7.0,True,0.0,0.0,0.0,0,0.816496580927726,HIGH,1.0,1.0,0.0
2026-07-20_10_ps_d3a36e0ee74e65f4,ps_d3a36e0ee74e65f4,alice,2026-07-20_10,10,2,1,1,0.3333333333333333,0.6666666666666666,31.516666666666666,True,0.0,0.0,0.0,0,0.4999999999999999,HIGH,2.0,3.0,0.0
2026-07-20_11_ps_d3a36e0ee74e65f4,ps_d3a36e0ee74e65f4,alice,2026-07-20_11,11,4,1,1,0.2,0.8,12.396666666666667,True,0.0,0.0,0.0,0,-0.4949133977324323,HIGH,3.0,7.0,0.0
2026-07-20_12_ps_d3a36e0ee74e65f4,ps_d3a36e0ee74e65f4,alice,2026-07-20_12,12,2,0,1,0.0,1.0,37.24166666666667,True,0.0,0.0,0.0,0,-0.49999999999999994,HIGH,3.0,9.0,0.0
2026-07-20_13_ps_d3a36e0ee74e65f4,ps_d3a36e0ee74e65f4,alice,2026-07-20_13,13,2,0,1,0.0,1.0,14.924999999999999,True,0.0,0.0,0.0,0,-0.5,HIGH,2.0,10.0,0.0
2026-07-20_14_ps_d3a36e0ee74e65f4,ps_d3a36e0ee74e65f4,alice,2026-07-20_14,14,4,2,1,0.3333333333333333,0.6666666666666666,14.463888888888889,True,0.0,0.0,0.0,0,1.118033988749895,HIGH,3.0,12.0,0.0
2026-07-20_09_ps_df90dc50ebbb914c,ps_df90dc50ebbb914c,bob,2026-07-20_09,9,5,1,1,0.16666666666666666,0.8333333333333334,6.876666666666667,True,0.0,0.0,0.0,0,0.816496580927726,HIGH,1.0,5.0,0.0
2026-07-20_10_ps_df90dc50ebbb914c,ps_df90dc50ebbb914c,bob,2026-07-20_10,10,4,1,1,0.2,0.8,11.753333333333334,True,0.0,0.0,0.0,0,0.4999999999999999,HIGH,2.0,9.0,0.0
2026-07-20_11_ps_df90dc50ebbb914c,ps_df90dc50ebbb914c,bob,2026-07-20_11,11,4,2,1,0.3333333333333333,0.6666666666666666,7.936111111111111,True,0.0,0.0,0.0,0,-0.26995276239950855,HIGH,4.0,13.0,0.0
2026-07-20_12_ps_df90dc50ebbb914c,ps_df90dc50ebbb914c,bob,2026-07-20_12,12,1,1,1,0.5,0.5,20.875,True,0.0,0.0,0.0,0,1.9999999999999998,HIGH,5.0,14.0,0.0
2026-07-20_13_ps_df90dc50ebbb914c,ps_df90dc50ebbb914c,bob,2026-07-20_13,13,3,0,1,0.0,1.0,34.12777777777777,True,0.0,0.0,0.0,0,-0.5,HIGH,4.0,12.0,0.0
2026-07-20_14_ps_df90dc50ebbb914c,ps_df90dc50ebbb914c,bob,2026-07-20_14,14,3,0,1,0.0,1.0,6.833333333333333,True,0.0,0.0,0.0,0,-1.118033988749895,HIGH,3.0,11.0,0.0
