window_id,entity_id,entity_label,hour,hour_of_day,login_success_count,login_failure_count,unique_source_ips,failure_ratio,success_rate,time_since_last_login_min,is_business_hours,dns_query_entropy,domain_length,bytes_transferred,unique_dest_ports,peer_deviation,privacy_risk
2026-07-13_11_ps_d1ddcc76d428753d,ps_d1ddcc76d428753d,carol,2026-07-13_11,11,5,0,1,0.0,1.0,13.416666666666666,True,0.0,0.0,0.0,0,0.0,MEDIUM
2026-07-13_11_ps_d3a36e0ee74e65f4,ps_d3a36e0ee74e65f4,alice,2026-07-13_11,11,5,0,1,0.0,1.0,12.406666666666668,True,0.0,0.0,0.0,0,0.0,MEDIUM
2026-07-13_11_ps_df90dc50ebbb914c,ps_df90dc50ebbb914c,bob,2026-07-13_11,11,6,0,1,0.0,1.0,11.502777777777778,True,0.0,0.0,0.0,0,0.0,MEDIUM
2026-07-13_12_ps_ba91f0aa805d2926,ps_ba91f0aa805d2926,dave,2026-07-13_12,12,2,0,1,0.0,1.0,30.19166666666667,True,0.0,0.0,0.0,0,0.0,MEDIUM
2026-07-13_12_ps_cd7c1c4b4a051b97,ps_cd7c1c4b4a051b97,erin,2026-07-13_12,12,6,0,1,0.0,1.0,10.616666666666667,True,0.0,0.0,0.0,0,0.0,MEDIUM
2026-07-13_12_ps_d1ddcc76d428753d,ps_d1ddcc76d428753d,carol,2026-07-13_12,12,3,0,1,0.0,1.0,20.311111111111114,True,0.0,0.0,0.0,0,0.0,MEDIUM
2026-07-13_12_ps_d3a36e0ee74e65f4,ps_d3a36e0ee74e65f4,alice,2026-07-13_12,12,3,0,1,0.0,1.0,17.83888888888889,True,0.0,0.0,0.0,0,0.0,MEDIUM
2026-07-13_12_ps_df90dc50ebbb914c,ps_df90dc50ebbb914c,bob,2026-07-13_12,12,2,0,1,0.0,1.0,21.266666666666666,True,0.0,0.0,0.0,0,0.0,MEDIUM
2026-07-13_13_ps_ba91f0aa805d2926,ps_ba91f0aa805d2926,dave,2026-07-13_13,13,3,0,1,0.0,1.0,16.105555555555554,True,0.0,0.0,0.0,0,-1.0690449676496976,HIGH
2026-07-13_13_ps_cd7c1c4b4a051b97,ps_cd7c1c4b4a051b97,erin,2026-07-13_13,13,2,2,1,0.5,0.5,12.729166666666668,True,0.0,0.0,0.0,0,1.6035674514745462,HIGH
2026-07-13_13_ps_d1ddcc76d428753d,ps_d1ddcc76d428753d,carol,2026-07-13_13,13,4,1,1,0.2,0.8,11.440000000000001,True,0.0,0.0,0.0,0,0.2672612419124243,HIGH
2026-07-13_13_ps_d3a36e0ee74e65f4,ps_d3a36e0ee74e65f4,alice,2026-07-13_13,13,2,1,1,0.3333333333333333,0.6666666666666666,13.594444444444447,True,0.0,0.0,0.0,0,0.2672612419124243,HIGH
2026-07-13_13_ps_df90dc50ebbb914c,ps_df90dc50ebbb914c,bob,2026-07-13_13,13,4,0,1,0.0,1.0,21.45,True,0.0,0.0,0.0,0,-1.0690449676496976,HIGH
2026-07-13_14_ps_ba91f0aa805d2926,ps_ba91f0aa805d2926,dave,2026-07-13_14,14,6,0,1,0.0,1.0,10.652777777777777,True,0.0,0.0,0.0,0,0.0,MEDIUM
2026-07-13_14_ps_cd7c1c4b4a051b97,ps_cd7c1c4b4a051b97,erin,2026-07-13_14,14,2,0,1,0.0,1.0,23.058333333333334,True,0.0,0.0,0.0,0,0.0,MEDIUM
2026-07-13_14_ps_d1ddcc76d428753d,ps_d1ddcc76d428753d,carol,2026-07-13_14,14,4,0,1,0.0,1.0,7.866666666666667,True,0.0,0.0,0.0,0,0.0,MEDIUM
2026-07-13_14_ps_d3a36e0ee74e65f4,ps_d3a36e0ee74e65f4,alice,2026-07-13_14,14,2,0,1,0.0,1.0,43.18333333333334,True,0.0,0.0,0.0,0,0.0,MEDIUM
2026-07-13_14_ps_df90dc50ebbb914c,ps_df90dc50ebbb914c,bob,2026-07-13_14,14,4,0,1,0.0,1.0,13.0375,True,0.0,0.0,0.0,0,0.0,MEDIUM
